DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;PERIODO_AGRICOLA;CULTIVO;SUPERFICIE_VERDE;SIEMBRA;COSECHA;RENDIMIENTO;PRODUCCION;PRECIO_CHACRA;SUPERFICIE_PERDIDA;VALOR_PRODUCCION;FECHA_CORTE
CUSCO;ACOMAYO;ACOS;080203;2020;ARVEJA GRANO SECO;18.5384615384615;18;18;1111.111;20;2.1;NULL;42;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;AVENA FORRAJERA;1.875;2;2;40000;80;0.4;NULL;32;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;CEBADA GRANO;50.6363636363636;61;61;1196.721;73;1.2;NULL;87.6;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;CHOCHO O TARHUI GRANO SECO;20;21;21;1000;21;4.5;NULL;94.5;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;FRIJOL GRANO SECO;11.3;12;12;1000;12;3.5;NULL;42;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;HABA GRANO SECO;41.1428571428572;38;38;1210.526;46;2.25;NULL;103.5;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;MAIZ AMILACEO;406.8125;456;456;1449.561;661;4.2;NULL;2776.2;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;MASHUA O IZANO;2;2;2;5000;10;2;NULL;20;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;MELOCOTONERO;24;NULL;24;6000;144;4.5;NULL;648;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;OCA;2;2;2;5000;10;1.8;NULL;18;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;OLLUCO;12.8461538461538;17;17;5000;85;1.244;NULL;105.74;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;PAPA (agrupa mejoradas y nativas);80.25;90;90;12000;1080;1.194;NULL;1289.52;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;QUINUA;17.9230769230769;17;17;1000;17;5.4;NULL;91.8;20230810
CUSCO;ACOMAYO;ACOS;080203;2020;TRIGO BLANDO;38.7272727272727;42;42;1309.523;55;1.8;NULL;99;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;ALFALFA;20;NULL;20;85750;1715;0.5;NULL;857.5;20230810
